CDUID,month,year,date,background_pm25
1003,8,2027,2027-08-01,0.614
1003,9,2027,2027-09-01,0.3
1003,10,2027,2027-10-01,0.26
1003,11,2027,2027-11-01,0.21
1003,12,2027,2027-12-01,0.06
1003,1,2028,2028-01-01,0.096
1003,2,2028,2028-02-01,0.09
1003,3,2028,2028-03-01,0.33
1003,4,2028,2028-04-01,0.226
1003,5,2028,2028-05-01,0.276
1003,6,2028,2028-06-01,0.352
1003,7,2028,2028-07-01,0.486
1003,8,2028,2028-08-01,0.608
1003,9,2028,2028-09-01,0.3
1003,10,2028,2028-10-01,0.26
1003,11,2028,2028-11-01,0.21
1003,12,2028,2028-12-01,0.06
1003,1,2029,2029-01-01,0.094
1003,2,2029,2029-02-01,0.09
1003,3,2029,2029-03-01,0.33
1003,4,2029,2029-04-01,0.224
1003,5,2029,2029-05-01,0.274
1003,6,2029,2029-06-01,0.34800000000000003
1003,7,2029,2029-07-01,0.484
1003,8,2029,2029-08-01,0.602
1003,9,2029,2029-09-01,0.3
1003,10,2029,2029-10-01,0.26
1003,11,2029,2029-11-01,0.21
1003,12,2029,2029-12-01,0.06
1003,1,2030,2030-01-01,0.092
1003,2,2030,2030-02-01,0.09
1003,3,2030,2030-03-01,0.33
1003,4,2030,2030-04-01,0.222
1003,5,2030,2030-05-01,0.272
1003,6,2030,2030-06-01,0.34400000000000003
1003,7,2030,2030-07-01,0.482
1003,8,2030,2030-08-01,0.596
1003,9,2030,2030-09-01,0.3
1003,10,2030,2030-10-01,0.26
1003,11,2030,2030-11-01,0.21
1003,12,2030,2030-12-01,0.06
1003,1,2031,2031-01-01,0.09
1003,2,2031,2031-02-01,0.09
1003,3,2031,2031-03-01,0.33
1003,4,2031,2031-04-01,0.22
1003,5,2031,2031-05-01,0.27
1003,6,2031,2031-06-01,0.34
1003,7,2031,2031-07-01,0.48
1003,8,2031,2031-08-01,0.59
1003,9,2031,2031-09-01,0.3
1003,10,2031,2031-10-01,0.26
1003,11,2031,2031-11-01,0.21
1003,12,2031,2031-12-01,0.06
1003,1,2032,2032-01-01,0.09
1003,2,2032,2032-02-01,0.09
1003,3,2032,2032-03-01,0.33
1003,4,2032,2032-04-01,0.222
1003,5,2032,2032-05-01,0.27
1003,6,2032,2032-06-01,0.34
1003,7,2032,2032-07-01,0.478
1003,8,2032,2032-08-01,0.59
1003,9,2032,2032-09-01,0.3
1003,10,2032,2032-10-01,0.26
1003,11,2032,2032-11-01,0.21
1003,12,2032,2032-12-01,0.06
1003,1,2033,2033-01-01,0.09
1003,2,2033,2033-02-01,0.09
1003,3,2033,2033-03-01,0.33
1003,4,2033,2033-04-01,0.224
1003,5,2033,2033-05-01,0.27
1003,6,2033,2033-06-01,0.34
1003,7,2033,2033-07-01,0.476
1003,8,2033,2033-08-01,0.59
1003,9,2033,2033-09-01,0.3
