"","HLTH_SERVICE_DLVR_AREA_NAME","year","month","date","pm25"
"306","Okanagan",2015,6,2015-06-01,6.25155307894881
"307","Okanagan",2015,7,2015-07-01,9.19738753797335
"308","Okanagan",2015,8,2015-08-01,26.8661906108533
"309","Okanagan",2015,9,2015-09-01,6.01029419700564
"310","Okanagan",2015,10,2015-10-01,7.96374275737578
"311","Okanagan",2015,11,2015-11-01,10.5202955046207
"312","Okanagan",2015,12,2015-12-01,8.59377617333495
"313","Okanagan",2016,1,2016-01-01,9.08452214396872
"314","Okanagan",2016,2,2016-02-01,8.17074934074299
"315","Okanagan",2016,3,2016-03-01,6.83604455531152
"316","Okanagan",2016,4,2016-04-01,6.54748218845811
"317","Okanagan",2016,5,2016-05-01,5.19686153938527
"318","Okanagan",2016,6,2016-06-01,5.0717536908894
"319","Okanagan",2016,7,2016-07-01,4.6935108791163
"320","Okanagan",2016,8,2016-08-01,5.80093075211604
"321","Okanagan",2016,9,2016-09-01,6.0427572167299
"322","Okanagan",2016,10,2016-10-01,7.72261052050723
"323","Okanagan",2016,11,2016-11-01,9.35435142921591
"324","Okanagan",2016,12,2016-12-01,8.48569688739336
"325","Okanagan",2017,1,2017-01-01,8.59059989678634
"326","Okanagan",2017,2,2017-02-01,8.58330268663932
"327","Okanagan",2017,3,2017-03-01,6.63073890143989
"328","Okanagan",2017,4,2017-04-01,5.57917389318123
"329","Okanagan",2017,5,2017-05-01,5.74614954069843
"330","Okanagan",2017,6,2017-06-01,5.39078237062937
"331","Okanagan",2017,7,2017-07-01,16.4674939947822
"332","Okanagan",2017,8,2017-08-01,31.5226857323976
"333","Okanagan",2017,9,2017-09-01,17.2796974187637
"334","Okanagan",2017,10,2017-10-01,8.64986054217593
"335","Okanagan",2017,11,2017-11-01,10.4057573508294
"336","Okanagan",2017,12,2017-12-01,7.76819612880518
"337","Okanagan",2018,1,2018-01-01,8.11590479456529
"338","Okanagan",2018,2,2018-02-01,8.17382942157105
"339","Okanagan",2018,3,2018-03-01,7.78765364678552
"340","Okanagan",2018,4,2018-04-01,6.32407299283358
"341","Okanagan",2018,5,2018-05-01,6.62888138823264
"342","Okanagan",2018,6,2018-06-01,5.90496065597434
"343","Okanagan",2018,7,2018-07-01,10.0709903164002
"344","Okanagan",2018,8,2018-08-01,61.098643293111
"345","Okanagan",2018,9,2018-09-01,8.78431359363594
"346","Okanagan",2018,10,2018-10-01,10.5221253708449
"347","Okanagan",2018,11,2018-11-01,10.1321014055766
"348","Okanagan",2018,12,2018-12-01,8.42323572958614
"349","Okanagan",2019,1,2019-01-01,8.5063724864368
