"","HLTH_SERVICE_DLVR_AREA_CODE","year","month","monthly_smoke","date"
"370","13",2020,10,7.84418213794058,2020-10-01
"371","13",2020,11,7.90878345081662,2020-11-01
"372","13",2020,12,9.13013836644936,2020-12-01
"373","13",2021,1,8.55798742745237,2021-01-01
"374","13",2021,2,8.15739187250529,2021-02-01
"375","13",2021,3,7.34265996857719,2021-03-01
"376","13",2021,4,5.9945305572932,2021-04-01
"377","13",2021,5,5.84235937221534,2021-05-01
"378","13",2021,6,5.51659476067645,2021-06-01
"379","13",2021,7,8.36046086593582,2021-07-01
"380","13",2021,8,17.9378979454491,2021-08-01
"381","13",2021,9,9.05490891801492,2021-09-01
"382","13",2021,10,7.95200051571168,2021-10-01
"383","13",2021,11,9.77259518582929,2021-11-01
"384","13",2021,12,8.23774645153472,2021-12-01
"385","13",2022,1,8.55798742745237,2022-01-01
"386","13",2022,2,8.15739187250529,2022-02-01
"387","13",2022,3,7.34265996857719,2022-03-01
"388","13",2022,4,5.9945305572932,2022-04-01
"389","13",2022,5,5.84235937221534,2022-05-01
"390","13",2022,6,5.51659476067645,2022-06-01
"391","13",2022,7,8.36046086593582,2022-07-01
"392","13",2022,8,17.9378979454491,2022-08-01
"393","13",2022,9,9.05490891801492,2022-09-01
"394","13",2022,10,7.95200051571168,2022-10-01
"395","13",2022,11,9.77259518582929,2022-11-01
"396","13",2022,12,8.23774645153472,2022-12-01
"397","14",2012,1,8.06751535749624,2012-01-01
"398","14",2012,2,8.86996400203478,2012-02-01
"399","14",2012,3,6.57197804363274,2012-03-01
"400","14",2012,4,5.96575573147003,2012-04-01
"401","14",2012,5,6.38921854190068,2012-05-01
"402","14",2012,6,5.70537757266436,2012-06-01
"403","14",2012,7,9.46100195339729,2012-07-01
"404","14",2012,8,7.8278903916167,2012-08-01
"405","14",2012,9,8.75764886249998,2012-09-01
"406","14",2012,10,7.60891784677729,2012-10-01
"407","14",2012,11,9.54687457687745,2012-11-01
"408","14",2012,12,8.82977842332986,2012-12-01
"409","14",2013,1,8.894602476687,2013-01-01
"410","14",2013,2,8.30525448116227,2013-02-01
"411","14",2013,3,7.41792083153987,2013-03-01
"412","14",2013,4,6.03409921708417,2013-04-01
"413","14",2013,5,6.29275960372646,2013-05-01
"414","14",2013,6,5.69412733299739,2013-06-01
"415","14",2013,7,6.66400248835179,2013-07-01
"416","14",2013,8,7.19899239256387,2013-08-01
"417","14",2013,9,7.12379832473708,2013-09-01
"418","14",2013,10,8.59960126112621,2013-10-01
"419","14",2013,11,12.0943104550384,2013-11-01
"420","14",2013,12,9.94538769048464,2013-12-01
"421","14",2014,1,9.54716113085711,2014-01-01
"422","14",2014,2,8.27212117690366,2014-02-01
"423","14",2014,3,7.07782321079313,2014-03-01
"424","14",2014,4,5.85298491661779,2014-04-01
"425","14",2014,5,5.90531521274803,2014-05-01
"426","14",2014,6,5.53457333198837,2014-06-01
"427","14",2014,7,11.1980851582209,2014-07-01
"428","14",2014,8,11.2965749276717,2014-08-01
"429","14",2014,9,6.54509784147536,2014-09-01
"430","14",2014,10,7.4169144640801,2014-10-01
"431","14",2014,11,12.9042529959466,2014-11-01
"432","14",2014,12,10.2671965538523,2014-12-01
"433","14",2015,1,8.99792690324758,2015-01-01
"434","14",2015,2,8.24358346366652,2015-02-01
"435","14",2015,3,7.90310145807627,2015-03-01
"436","14",2015,4,6.00524498204673,2015-04-01
"437","14",2015,5,6.55401167550097,2015-05-01
"438","14",2015,6,6.78102283112256,2015-06-01
"439","14",2015,7,9.63412344600611,2015-07-01
"440","14",2015,8,13.565205472996,2015-08-01
"441","14",2015,9,6.44897408744977,2015-09-01
"442","14",2015,10,8.36763047493319,2015-10-01
"443","14",2015,11,10.6571942856395,2015-11-01
"444","14",2015,12,8.63326372751028,2015-12-01
"445","14",2016,1,8.73824316369732,2016-01-01
"446","14",2016,2,8.34415936335482,2016-02-01
"447","14",2016,3,6.73667249295775,2016-03-01
"448","14",2016,4,7.02984146080128,2016-04-01
"449","14",2016,5,6.35866202238773,2016-05-01
"450","14",2016,6,5.5337420579333,2016-06-01
"451","14",2016,7,5.38957850894381,2016-07-01
"452","14",2016,8,5.92644615182989,2016-08-01
"453","14",2016,9,7.0483295378485,2016-09-01
"454","14",2016,10,8.42695827285574,2016-10-01
"455","14",2016,11,9.49650424186698,2016-11-01
"456","14",2016,12,9.28613708017811,2016-12-01
"457","14",2017,1,8.49405425818557,2017-01-01
"458","14",2017,2,8.63960080973763,2017-02-01
"459","14",2017,3,6.77378144671715,2017-03-01
"460","14",2017,4,5.85321604571775,2017-04-01
"461","14",2017,5,6.13492765729945,2017-05-01
"462","14",2017,6,5.6897297345003,2017-06-01
"463","14",2017,7,36.8853481899987,2017-07-01
"464","14",2017,8,53.5300342616875,2017-08-01
"465","14",2017,9,15.6016550142759,2017-09-01
"466","14",2017,10,8.19725005498533,2017-10-01
"467","14",2017,11,9.80045652581434,2017-11-01
"468","14",2017,12,8.83927641373031,2017-12-01
"469","14",2018,1,8.32129930791232,2018-01-01
"470","14",2018,2,8.18536855526954,2018-02-01
"471","14",2018,3,7.98928666181602,2018-03-01
"472","14",2018,4,6.37776657221778,2018-04-01
"473","14",2018,5,6.74133733927654,2018-05-01
"474","14",2018,6,6.4169977947163,2018-06-01
"475","14",2018,7,9.03865631256614,2018-07-01
"476","14",2018,8,51.0964485900159,2018-08-01
"477","14",2018,9,8.44081637370032,2018-09-01
"478","14",2018,10,10.3975138472318,2018-10-01
"479","14",2018,11,10.5497296099902,2018-11-01
"480","14",2018,12,8.54704976450772,2018-12-01
"481","14",2019,1,8.56909972216087,2019-01-01
"482","14",2019,2,8.46010577867526,2019-02-01
"483","14",2019,3,9.18889715908218,2019-03-01
"484","14",2019,4,6.11938247751238,2019-04-01
"485","14",2019,5,7.30077479458042,2019-05-01
"486","14",2019,6,5.60108449376659,2019-06-01
"487","14",2019,7,7.78620167198025,2019-07-01
"488","14",2019,8,6.94993529333716,2019-08-01
"489","14",2019,9,5.88277891864946,2019-09-01
"490","14",2019,10,7.43811665266512,2019-10-01
"491","14",2019,11,10.3032000493139,2019-11-01
"492","14",2019,12,9.34734066560168,2019-12-01
"493","14",2020,1,7.79498004983276,2020-01-01
"494","14",2020,2,7.75694754393359,2020-02-01
"495","14",2020,3,7.1879844404087,2020-03-01
"496","14",2020,4,5.9183037200112,2020-04-01
"497","14",2020,5,5.61683343599761,2020-05-01
"498","14",2020,6,5.73876234662302,2020-06-01
"499","14",2020,7,6.5405309220939,2020-07-01
"500","14",2020,8,6.59436742752563,2020-08-01
"501","14",2020,9,13.7007619821767,2020-09-01
"502","14",2020,10,7.87619040956864,2020-10-01
"503","14",2020,11,7.73563230583008,2020-11-01
"504","14",2020,12,9.34391582146818,2020-12-01
"505","14",2021,1,8.63080018285135,2021-01-01
"506","14",2021,2,8.29487363160841,2021-02-01
"507","14",2021,3,7.46451385972072,2021-03-01
"508","14",2021,4,6.15278561429979,2021-04-01
"509","14",2021,5,6.28403297216846,2021-05-01
"510","14",2021,6,5.94831990040607,2021-06-01
"511","14",2021,7,11.5443722707981,2021-07-01
"512","14",2021,8,18.1221425394817,2021-08-01
"513","14",2021,9,8.71946329786618,2021-09-01
"514","14",2021,10,8.23142179716582,2021-10-01
"515","14",2021,11,10.3409744153326,2021-11-01
"516","14",2021,12,9.24181381728358,2021-12-01
"517","14",2022,1,8.63080018285135,2022-01-01
"518","14",2022,2,8.29487363160841,2022-02-01
"519","14",2022,3,7.46451385972072,2022-03-01
"520","14",2022,4,6.15278561429979,2022-04-01
"521","14",2022,5,6.28403297216846,2022-05-01
"522","14",2022,6,5.94831990040607,2022-06-01
"523","14",2022,7,11.5443722707981,2022-07-01
"524","14",2022,8,18.1221425394817,2022-08-01
"525","14",2022,9,8.71946329786618,2022-09-01
"526","14",2022,10,8.23142179716582,2022-10-01
"527","14",2022,11,10.3409744153326,2022-11-01
"528","14",2022,12,9.24181381728358,2022-12-01
"529","21",2012,1,7.05523956445861,2012-01-01
"530","21",2012,2,6.84116468415137,2012-02-01
"531","21",2012,3,6.74743543614743,2012-03-01
"532","21",2012,4,6.08078792521328,2012-04-01
"533","21",2012,5,5.9418105876151,2012-05-01
"534","21",2012,6,5.64186919952559,2012-06-01
"535","21",2012,7,7.18494079590928,2012-07-01
"536","21",2012,8,6.96950860425389,2012-08-01
"537","21",2012,9,6.97680786165763,2012-09-01
"538","21",2012,10,6.45868373715765,2012-10-01
"539","21",2012,11,5.5796023586341,2012-11-01
"540","21",2012,12,5.26124429836301,2012-12-01
"541","21",2013,1,8.49711093591726,2013-01-01
"542","21",2013,2,8.02616907176016,2013-02-01
"543","21",2013,3,8.07699931797256,2013-03-01
"544","21",2013,4,7.0388960738019,2013-04-01
"545","21",2013,5,7.12934921404784,2013-05-01
"546","21",2013,6,6.48256064448445,2013-06-01
"547","21",2013,7,7.00560703995052,2013-07-01
"548","21",2013,8,6.46765676184868,2013-08-01
